DATAFLOW,LAST UPDATE,freq,unit,tra_meas,rep_airp,schedule,tra_cov,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-05,11766,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-06,10461,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-07,11521,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-08,10854,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-09,10929,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-10,9106,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-11,1444,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2023-12,2924,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-01,2300,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-02,3070,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-03,2791,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-04,8978,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-05,10333,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-06,10464,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-07,9730,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,International transport,2024-08,10431,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-01,2527,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-02,1888,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-03,2669,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-04,2874,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-05,4677,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-06,5161,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-07,6047,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-08,6143,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-09,6818,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-10,6426,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-11,3715,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2023-12,3891,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-01,2851,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-02,3289,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-03,3174,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-04,4906,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-05,4748,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-06,5050,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-07,5612,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,National transport,2024-08,5683,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-01,9674,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-02,10652,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-03,9952,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-04,12443,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-05,16443,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-06,15622,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-07,17568,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-08,16997,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-09,17747,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-10,15532,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-11,5159,
ESTAT:AVIA_PAOA(1.0),24/10/24 11:21:00,Monthly,Passenger,Passengers carried,KLAGENFURT airport,Total,Total transport,2023-12,6815,
